description;price
Сушилка подвесная оцинкован.(ОРЁЛ);440
Крышка винтовая 82 стандарт ФОТО/20;5
Бахилы п/эт 50пар ГОЛУБЫЕ БМ20СЛ;59
Сетка 7магнитов CLAS OHLSON(Швеция);299
Smart салфетки в рулоне 150шт448200;175
Крышка закаточная металл СКО 1-82;4
Стельки Шоль гелевые Женские;199
Сушилка д/белья наполь.НИКА 18м СБ1;999
"Контейнер д/стир.порош.""Стир.маш""5л";259
Вешалка пластик Дешёвые ЛЕМО;20
Пакет мусор Полосатик особ.60л.20шт;85
Скотч арт.260. 50мм*120м;76
Контейнер д/специй 5-секц. С368;141
Губка меламиновая 1шт. SPONGE;22
Просеиватель д/муки МЕТАЛЛ 1551;175
Перчатка True Touch д/животных;79
Пищевая плёнка 0.3/300м NOVA ROLL;185
Коврик д/выпеч.в духов.45х33см AZUR;199
Подставки антивибр.д/стир.маш.4шт.;99
ПНД АМИГО 30л с ручками 50шт/30;89
Стельки Шоль гелевые Мужские;199
Мясорубка(Казань);1099
Контейнер д/овощей 11.2л. С821;369
Фасовоч.пак.24смх37см 100шт AMIGO;24
Фольга алюминиевая 10м ПРЕМИУМ;50
Веник СОРГО ЭЛИТ;199
Шланг X-Hose 30м.+насадка;499
"Мочалка натуральная люфа""Огурец""";145
Ленивка большая(швабра+совок)Россия;296
Доски гибкие.с пробив.ярлыками 4шт.;125
Свеча хоз.белая 80гр.коробка 60штук;1380
Сменный блок для швабр с отж.;145
Коврик антипригарный 33*40см 438066;99
Ведро-туалет со стульчаком (Россия);480
Пельменница металл без упаковки;145
Нитки RUNIS 200м цветные 10шт;75
Шланг Hose 75м+насадка;1149
Сменные ролики 2шт.ш.д/пяток алмаз;48
Шпагат п/п 500м(Россия);232
Термометр наружный Пчела 23*20см;160
Шланг Hose 60м+насадка;999
Лейкопластырь 100шт.в уп. DERBEND;70
Шланг Hose 45м+насадка;890
Нано зубные щетки Н005 4шт.(Корея);55
Мешок д/строит.мусора 50кг.зеленый;10
Пакет мусор Полосатик особ.30л.20шт;67
Доска разделоч.гибкая из 4шт. 1247;106
Комбайн для ягод МЕТАЛЛ станд.(Фин);520
